vec1_x,vec1_y,vec1_z,vec2_x,vec2_y,vec2_z,result_x,result_y,result_z
8.07248718793866282e-01,1.72370755669960296e-01,0.00000000000000000e+00,1.25959535539748479e-01,2.90283602333008539e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.12619325745365628e-01
9.93955318567147916e-01,3.96238194814892752e-01,0.00000000000000000e+00,2.01512557008020177e-01,5.56213956879961224e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.73004848880724582e-01
2.51056662053434132e-01,2.55998707558014682e-01,0.00000000000000000e+00,3.05843721979671246e-01,6.33833876595611967e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.08326198129540180e-02
4.92953980551892323e-01,8.73211638360601006e-01,0.00000000000000000e+00,1.50716353918182611e-01,6.35017807624003505e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.81427281656955930e-01
2.37949584340902742e-01,8.45735829984070930e-01,0.00000000000000000e+00,7.81120223481330034e-01,5.21099067963998408e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.36626053900860378e-01
3.47803381765622865e-01,9.51836079068410279e-01,0.00000000000000000e+00,5.15435604771809053e-01,9.46429320953339204e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.57693073215282187e-01
9.40613464662812926e-01,4.38617686108063731e-01,0.00000000000000000e+00,2.26237230515884180e-01,7.74907500226922341e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.63428077022092449e-02
3.41848684082308729e-02,5.46532392033705738e-01,0.00000000000000000e+00,1.31809082607687200e-01,1.26918800050046410e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-6.76992307311062025e-02
7.75771280993453938e-01,1.96847090727965690e-01,0.00000000000000000e+00,8.99318069610389181e-01,8.62736021610200576e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.92257683001846136e-01
5.99733812522470155e-01,3.32478823110223143e-01,0.00000000000000000e+00,3.95969094764434204e-01,2.33789383051779653e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.56005940962045742e-03
3.63265812697497914e-01,6.79649661856966514e-01,0.00000000000000000e+00,7.80778992621878665e-01,1.91519419690460380e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.61083720679274556e-01
4.15154628105851686e-01,9.39717782768224597e-01,0.00000000000000000e+00,8.24855288979662316e-02,4.52612224654769135e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.10390941476251739e-01
6.46092073298416891e-01,4.27328724625649969e-01,0.00000000000000000e+00,9.58024701618916730e-01,9.40456287024591719e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.98229878427568951e-01
6.11468632318529437e-01,7.18601018888875065e-01,0.00000000000000000e+00,3.39602467363447347e-01,3.61750316197170685e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.28397079786696877e-02
7.34270779196254275e-01,2.42145125777588066e-01,0.00000000000000000e+00,8.99235051911066785e-01,7.34899454059233181e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.21869810014353830e-01
