vec1_x,vec1_y,vec1_z,vec2_x,vec2_y,vec2_z,result_x,result_y,result_z,norm
7.31614704551490247e-01,9.80460218360833857e-01,5.19619014961880676e-02,9.29144167852262393e-01,2.60177862765135548e-01,8.39234378940288073e-01,8.09316585955222934e-01,-5.65716114472155418e-01,-7.20638943503371654e-01,1.2224354974268976
9.61303247241498515e-01,5.77273676355532728e-01,9.92225712066665655e-01,9.46312181038812095e-01,5.89099908360767865e-01,2.99651911642502489e-01,-4.11538915390839644e-01,6.50898921964534471e-01,2.00225431285778743e-02,0.7703470566757542
1.80813231771864036e-01,3.78029455455393681e-01,1.71939381002643388e-01,1.21154350273250944e-01,8.35083083267097237e-01,7.20962462022216588e-02,-1.16329163730519755e-01,7.79524871731652851e-03,1.05194158023687409e-01,0.15703200667099498
7.08273105859057561e-01,7.36036523939466725e-01,4.06674188504437595e-01,8.02183393128575117e-01,2.90012181619515030e-01,8.99075167292532895e-01,5.43811692277772596e-01,-3.10563480706734452e-01,-3.85028447627708159e-01,0.7351379038583848
6.68163737812683789e-01,3.01887590574825171e-01,8.63667805952419432e-01,6.02095958894333205e-01,5.46263569852618702e-01,8.52961881471193117e-01,-2.14291651596839272e-01,-4.99073031444449144e-02,1.83228210338176573e-01,0.28632888068615037
4.83554907856562743e-01,6.41331178798885237e-01,5.52432288680467232e-01,2.12384442361884807e-01,3.77744497672694357e-01,7.65990598286295787e-01,2.82575395962033515e-01,-2.53070489599222292e-01,4.64514409869518363e-02,0.38216653893146424
4.10845390106671982e-01,2.39629680003120016e-01,3.46159207537179325e-01,1.42059636541688850e-01,7.38397336210967037e-01,7.55417269437819727e-01,-7.45826382061370863e-02,-2.61184451547207208e-01,2.69325436403477725e-01,0.3825128472949983
5.44935763069371304e-01,3.15465602455498262e-01,1.85911926620097034e-06,6.82748092801040762e-01,9.79058016528784325e-02,6.88558732882719626e-01,2.17216413476279513e-01,-3.75219009211390953e-01,-1.62031165688192924e-01,0.4628459504104476
3.64651845437542033e-01,2.17821074863545738e-01,1.07179642709323009e-01,9.27735166047626736e-01,5.21856067922527145e-01,9.32031202117949098e-01,1.47083691346065665e-01,-2.40432574231821794e-01,-1.17844928364753410e-02,0.2820998214872497
8.31922416557150046e-01,9.96411940428953868e-01,4.10969146862956380e-01,4.91552233422066442e-01,4.34218518002726928e-02,5.16391878665454884e-01,4.96693992453230981e-01,-2.27585177581804410e-01,-4.53664902845198004e-01,0.7101491246686253
7.73137630729422765e-01,8.54823621954085788e-01,4.60315722139191807e-01,2.77605431966661764e-01,8.57208878125035545e-01,7.26124221555909388e-02,-3.32515910052350872e-01,7.16467488585979806e-02,4.25436760245946122e-01,0.544698562535754
2.28779147521810944e-01,2.49978445753906486e-01,5.34742334172632061e-02,9.92709119551680175e-01,9.85117850273902640e-01,3.94452470729806937e-01,4.59261936877662091e-02,-3.71581408170849198e-02,-2.27814607970754923e-02,0.06331617211800802
6.82841399502929658e-01,4.34306779261294018e-01,9.55300846955494221e-01,6.33637369344827173e-01,7.89299325477460068e-01,2.30598028070692851e-01,-6.53868027254629780e-01,4.47852435387356973e-01,2.63773250935996351e-01,0.8352793118817154
6.76152595624980202e-01,1.33228809591577790e-01,7.30376893059914156e-01,1.28470738307642218e-01,9.96196692622827396e-01,3.14805806931949483e-01,-6.85657842324363331e-01,-1.19024704780605006e-01,6.56464975937867012e-01,0.9566816720948071
1.57985860547251389e-01,7.02513079105742344e-01,4.31129900050620463e-01,3.44551296587171652e-01,2.38586589536969429e-01,2.75969465861627961e-01,9.10103467011272593e-02,1.04947092511024409e-01,-2.04358484612297830e-01,0.2471015290649001
1.70646373592897471e-01,1.92666017577980631e-01,5.42287759331883445e-01,1.20326337317120058e-01,7.76433394427605506e-01,2.87627051479851903e-01,-3.65634367178274799e-01,1.61689865700590726e-02,1.09312746874860409e-01,0.3819675420999637
6.48239454941504367e-01,2.11298633716725526e-02,5.71337402955809037e-01,6.11385202266614747e-01,3.28736190575004805e-01,9.56877420594505756e-01,-1.67600592220108813e-01,-2.70978463903395306e-01,2.00181283206531668e-01,0.376286901922175
9.72485594671045117e-01,9.16540476085018985e-01,7.18973045359787566e-01,6.63433294513139149e-01,6.54082696586585688e-01,3.12427074834446872e-01,-1.83915768371385624e-01,1.73159826487476354e-01,2.80225325503213885e-02,0.25415467277888854
3.52773732595788148e-01,1.17336986669758669e-01,4.97574429714115474e-01,9.27820120613528587e-01,3.19609501727379230e-01,1.80961827489400928e-03,-1.58817180397814728e-01,4.61021181598150420e-01,3.88221977308407518e-03,0.4876253667540619
6.24927296863676651e-01,5.03871740471967589e-01,5.32134590372746796e-01,5.74551439897251659e-01,8.75063975195517041e-01,5.50418095421676523e-01,-1.88311686263228195e-01,-3.82325973989256496e-02,2.57351130590014632e-01,0.3211738269273005
2.93255313389926164e-01,6.86638624136194364e-01,8.92458624451489824e-02,4.82085738801099728e-01,6.44234418461866021e-01,7.48746518655476034e-01,4.56623023103883197e-01,-1.76549737446116850e-01,-1.42093522123456550e-01,0.5097695205190983
1.59769972277389094e-01,7.87866503309903043e-02,1.17999733233697390e-01,2.09941485183986809e-01,5.27136935094845716e-01,2.07546632015948029e-02,-6.05668273264191245e-02,2.14570672820513300e-02,6.76800671233317996e-02,0.09332383293968077
4.35193732370020347e-01,9.27760934542054660e-01,9.77231987833469318e-01,2.67058682811733394e-01,4.57468107902566645e-01,9.09309089132306347e-02,-3.62690323423943917e-01,2.21405725834550982e-01,-4.86793598246147430e-02,0.4277083658412864
6.52167839218773637e-01,7.01709744347821074e-01,1.78190650929668570e-01,5.46458097471228976e-01,9.85210461257804426e-01,1.78269240193577039e-01,-5.04620304329319314e-02,-1.88877410820311176e-02,2.59067605820900826e-01,0.26461138989916827
6.79715795377246690e-01,4.25653126166480100e-01,8.14595375761757445e-01,5.79508077635479069e-01,7.28042013016863776e-01,3.87790286447035282e-01,-4.27995509440643129e-01,2.08477417266529852e-01,2.48192231061540425e-01,0.5368820849784276
